lumpy,x,y,region,country,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da
1,90.380931,22.437184,Asia,Bangladesh,41.6,12.8,0.0,2.3,1.7,12.7,19.1,25.5,15.7,0.0,147,2,27970.9831,3691.74695
1,87.854975,22.986757,Asia,India,40.5,13.3,0.0,2.4,0.0,13.2,19.8,26.5,16.3,0.0,145,2,25063.64669,671.3267014
1,85.279935,23.610181,Asia,India,27.3,13.6,0.08,2.3,0.6,9.4,16.2,23.0,13.0,0.98,158,2,6038.477155,1426.839831
1,81.56451,43.882221,Asia,China,45.3,12.8,31.0,0.4,8.8,-22.5,-16.1,-9.7,0.9,4.64,178,2,760.7033397,0.0
1,81.161057,43.834976,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,81.248335,43.966008,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,81.074165,43.836019,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,81.547132,43.688309,Asia,China,45.3,12.8,31.0,0.4,8.8,-22.5,-16.1,-9.7,0.9,4.64,178,2,760.7033397,0.0
1,81.239566,43.591386,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,81.324148,43.978094,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,81.419105,43.761281,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,80.985762,43.842698,Asia,China,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52,183,3,165.8319872,0.0
1,80.998887,43.546925,Asia,China,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52,183,3,165.8319872,0.0
1,80.800777,43.801366,Asia,China,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52,183,3,165.8319872,0.0
1,81.25112,43.805409,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,80.866547,43.833523,Asia,China,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52,183,3,165.8319872,0.0
1,81.31971,43.727804,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,81.206167,43.8284,Asia,China,38.8,13.2,31.0,0.4,10.5,-20.4,-13.8,-7.2,1.2,1.69,185,3,270.3674263,0.0
1,80.79963,44.045009,Asia,China,43.8,13.2,31.0,0.5,11.9,-21.8,-15.2,-8.6,0.8,4.87,167,2,1044.908233,0.0
1,80.90709,43.99365,Asia,China,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52,183,3,165.8319872,0.0
1,81.12118,43.15416,Asia,China,45.1,13.7,31.0,0.5,7.1,-25.3,-18.4,-11.6,0.0,2.08,203,3,252.1598838,0.0
1,35.330164,32.791981,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.306662,32.776675,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.028724,32.456501,Asia,Israel,54.0,8.3,0.74,1.7,102.9,8.2,12.3,16.5,10.4,14.83,191,3,523.3880539,0.0
1,35.435592,32.694453,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.465791,32.811608,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.465791,32.811608,Asia,Israel,57.2,8.1,0.15,1.7,114.1,9.2,13.2,17.3,11.0,15.38,167,2,1945.913549,0.0
1,35.63843,32.75435,Asia,Israel,56.2,8.2,1.21,1.6,87.2,7.7,11.8,15.9,10.0,13.09,159,2,558.6841025,0.0
1,82.661315,53.804183,Europe,Russian Federation,61.6,8.6,31.0,0.0,7.6,-26.7,-22.4,-18.1,1.1,7.49,156,4,176.7408241,0.000270372
1,47.9557,51.446,Europe,Russian Federation,71.1,6.8,30.97,0.2,42.6,-13.3,-9.9,-6.5,2.6,13.51,149,2,248.5527282,0.000305944
1,47.931788,51.445628,Europe,Russian Federation,71.1,6.8,30.97,0.2,42.6,-13.3,-9.9,-6.5,2.6,13.51,149,2,248.5527282,0.000305944
1,69.124549,55.569204,Europe,Russian Federation,45.1,8.4,31.0,0.0,3.5,-25.2,-21.0,-16.8,1.2,4.74,150,2,156.6862837,0.001739317
1,69.3242,55.4583,Europe,Russian Federation,42.4,8.4,31.0,0.0,3.6,-25.1,-20.9,-16.7,1.2,4.47,151,2,131.9575087,0.006330749
1,91.876,22.298,Asia,Bangladesh,30.5,11.3,0.0,2.5,3.9,14.0,19.6,25.3,15.3,0.0,149,4,1719.636454,32.81055754
1,35.1877,31.5729,Asia,West Bank,50.5,9.1,1.01,1.8,79.2,7.9,12.4,17.0,10.2,13.65,160,9,9.145161204,0.0
1,72.75143,54.55858,Europe,Russian Federation,46.2,8.2,31.0,0.0,4.3,-25.7,-21.6,-17.5,1.1,4.43,153,2,262.0668625,0.004211262
1,72.12187,54.98289,Europe,Russian Federation,47.0,8.3,31.0,0.0,4.3,-25.5,-21.3,-17.2,1.1,2.42,153,2,260.1336625,0.004758991
1,75.814718,54.955058,Europe,Russian Federation,36.9,8.6,31.0,0.0,5.8,-27.3,-23.0,-18.7,1.0,3.3,151,9,185.7729687,0.001074965
1,70.16604,55.937892,Europe,Russian Federation,47.8,8.3,31.0,0.0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,2,104.7709918,0.000793021
1,69.20185,55.6713,Europe,Russian Federation,45.1,8.4,31.0,0.0,3.5,-25.2,-21.0,-16.8,1.2,4.74,150,2,156.6862837,0.001739317
1,78.649628,54.917817,Europe,Russian Federation,52.7,8.0,31.0,0.0,6.1,-26.5,-22.5,-18.5,1.0,3.75,155,2,175.6994304,0.002391627
1,74.871614,54.81272,Europe,Russian Federation,44.5,8.4,31.0,0.0,5.1,-26.2,-22.0,-17.8,1.0,2.66,152,2,213.1550973,0.002538065
1,78.096482,54.92527,Europe,Russian Federation,53.2,8.0,31.0,0.0,6.0,-26.6,-22.6,-18.6,1.0,3.02,154,2,144.7600887,0.000451896
1,73.05368,54.323148,Europe,Russian Federation,46.8,8.4,31.0,0.0,5.2,-25.5,-21.3,-17.1,1.1,3.63,153,2,250.2906518,0.005896505
1,75.51794,54.84852,Europe,Russian Federation,36.9,8.6,31.0,0.0,5.8,-27.3,-23.0,-18.7,1.0,3.3,151,9,185.7729687,0.001074965
1,76.867777,55.05673,Europe,Russian Federation,47.8,8.1,31.0,0.0,5.4,-26.8,-22.7,-18.7,1.0,3.53,153,2,176.1309735,0.001512286
1,74.14463,54.5556,Europe,Russian Federation,44.8,8.3,31.0,0.0,5.2,-26.1,-21.9,-17.8,1.0,2.64,153,2,286.2762257,0.003381517
1,36.4843,34.9092,Asia,Syrian Arab Republic,67.4,7.4,4.27,1.4,122.7,5.6,9.3,13.0,8.7,17.87,171,2,944.6532683,1e-08
1,88.95,24.73,Asia,Bangladesh,40.5,13.4,0.0,2.2,6.4,11.7,18.4,25.1,14.9,0.67,145,2,24730.39136,800.2351969
1,89.09,22.65,Asia,Bangladesh,41.9,13.5,0.0,2.3,0.7,12.6,19.3,26.1,16.0,0.01,145,2,22074.53379,377.1849474
1,86.3711,20.9605,Asia,India,36.7,12.4,0.0,2.9,0.0,15.1,21.3,27.5,18.2,0.0,145,2,36535.52167,207.2462842
1,86.857682,21.636522,Asia,India,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195
1,86.91667,21.585458,Asia,India,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195
1,79.95024,52.49329,Europe,Russian Federation,55.2,9.1,31.0,0.1,8.6,-25.9,-21.3,-16.8,1.0,6.21,156,2,251.9028643,0.000839016
1,91.696838,24.589827,Asia,Bangladesh,43.9,14.0,0.0,2.0,9.8,11.0,18.0,25.0,14.7,0.85,147,2,10521.85943,1010.077194
1,90.414794,24.721343,Asia,Bangladesh,44.0,13.1,0.0,2.1,5.7,11.9,18.4,25.0,14.8,0.65,147,2,21988.65273,494.4530552
1,89.333251,23.136049,Asia,Bangladesh,42.8,14.3,0.0,2.2,2.5,11.6,18.7,25.9,15.7,0.08,145,2,27967.79992,536.094454
1,88.940108,24.542086,Asia,Bangladesh,40.5,13.4,0.0,2.2,6.4,11.7,18.4,25.1,14.9,0.67,145,2,24730.39136,800.2351969
1,88.968374,25.835213,Asia,Bangladesh,36.6,13.7,0.0,2.1,6.9,10.9,17.7,24.6,14.6,0.89,150,2,39462.81784,1042.23329
1,35.406541,33.050647,Asia,Israel,61.1,7.6,0.11,1.7,159.4,9.3,13.1,16.9,10.7,16.59,161,2,602.6296796,0.0
1,76.96952,55.81528,Europe,Russian Federation,49.2,8.0,31.0,0.0,5.3,-26.1,-22.1,-18.1,1.0,4.19,153,2,161.604946,0.000932622
1,86.3711,20.9605,Asia,India,36.7,12.4,0.0,2.9,0.0,15.1,21.3,27.5,18.2,0.0,145,2,36535.52167,207.2462842
1,86.857682,21.636522,Asia,India,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195
1,86.91667,21.585458,Asia,India,37.0,13.2,0.0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195
1,90.598,23.685,Asia,Bangladesh,39.0,13.8,0.0,2.2,3.9,11.7,18.6,25.5,15.1,0.65,145,2,8504.041943,322.0633522
1,70.273,55.652,Europe,Russian Federation,47.8,8.3,31.0,0.0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,2,104.7709918,0.000793021
1,91.876,22.298,Asia,Bangladesh,30.5,11.3,0.0,2.5,3.9,14.0,19.6,25.3,15.3,0.0,149,4,1719.636454,32.81055754
1,70.143763,55.924905,Europe,Russian Federation,47.8,8.3,31.0,0.0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,2,104.7709918,0.000793021
1,46.603424,51.29798,Europe,Russian Federation,75.2,6.4,30.78,0.2,46.1,-12.1,-8.9,-5.7,2.8,13.12,149,3,310.2914362,0.00160353
1,74.533353,55.081623,Europe,Russian Federation,47.0,8.4,31.0,0.1,5.1,-26.4,-22.2,-18.0,0.9,2.59,154,2,229.9346524,0.001855764
1,70.495382,55.609609,Europe,Russian Federation,47.8,8.3,31.0,0.0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,2,104.7709918,0.000793021
1,78.265121,54.895912,Europe,Russian Federation,53.2,8.0,31.0,0.0,6.0,-26.6,-22.6,-18.6,1.0,3.02,154,2,144.7600887,0.000451896
1,74.593919,55.048349,Europe,Russian Federation,47.0,8.4,31.0,0.1,5.1,-26.4,-22.2,-18.0,0.9,2.59,154,2,229.9346524,0.001855764
1,80.99361,43.54425,Asia,China,43.6,13.3,31.0,0.4,11.1,-19.0,-12.3,-5.7,1.6,1.52,183,3,165.8319872,0.0
1,74.871614,54.81272,Europe,Russian Federation,44.5,8.4,31.0,0.0,5.1,-26.2,-22.0,-17.8,1.0,2.66,152,2,213.1550973,0.002538065
1,78.096482,54.92527,Europe,Russian Federation,53.2,8.0,31.0,0.0,6.0,-26.6,-22.6,-18.6,1.0,3.02,154,2,144.7600887,0.000451896
1,74.871614,54.81272,Europe,Russian Federation,44.5,8.4,31.0,0.0,5.1,-26.2,-22.0,-17.8,1.0,2.66,152,2,213.1550973,0.002538065
1,78.096482,54.92527,Europe,Russian Federation,53.2,8.0,31.0,0.0,6.0,-26.6,-22.6,-18.6,1.0,3.02,154,2,144.7600887,0.000451896
1,74.14463,54.5556,Europe,Russian Federation,44.8,8.3,31.0,0.0,5.2,-26.1,-21.9,-17.8,1.0,2.64,153,2,286.2762257,0.003381517
1,36.4821,35.3084,Asia,Syrian Arab Republic,69.9,6.6,3.73,1.6,119.1,5.9,9.2,12.5,7.9,17.51,190,2,601.3213745,0.0
1,46.090064,50.729202,Europe,Russian Federation,75.5,6.3,30.68,0.2,37.9,-11.7,-8.5,-5.4,2.9,12.86,148,3,234.2697435,0.00451319
1,46.4737,50.634,Europe,Russian Federation,75.5,6.3,30.68,0.2,37.9,-11.7,-8.5,-5.4,2.9,12.86,148,3,234.2697435,0.00451319
